source,target,value
abeirar-se,aproximar-se,1.0
abeirar-se,desaproximar-se,1.0
abeirar-se,acercar-se,1.0
abeirar-se,achegar-se,1.0
abeirar-se,aconchegar-se,1.0
abeirar-se,ajuntar-se,1.0
abeirar-se,aprochegar-se,1.0
abeirar-se,aproximar-se,1.0
abeirar-se,avizinhar-se,1.0
abeirar-se,conchegar-se,1.0
abeirar-se,confinar,1.0
abeirar-se,tender,1.0
abeirar-se,unir-se,1.0
abeirar-se,vir,1.0
abeirar-se,abjugar-se,1.0
abeirar-se,abstrair-se,1.0
abeirar-se,acercar-se,1.0
abeirar-se,afastar-se,1.0
abeirar-se,alhear-se,1.0
abeirar-se,apartar-se,1.0
abeirar-se,arredar-se,1.0
abeirar-se,cortar-se,1.0
abeirar-se,desachegar-se,1.0
abeirar-se,desgarrar-se,1.0
abeirar-se,desviar-se,1.0
abeirar-se,esgarrar-se,1.0
abeirar-se,separar-se,1.0
abeirar-se,tirar-se,1.0
abeirar-se,aproximar-se,1.0
abeirar-se,beirar,1.0
