source,target,value
abespinhado,abespinhável,1.0
abespinhado,agastadiço,1.0
abespinhado,anojadiço,1.0
abespinhado,árdego,1.0
abespinhado,argonaço,1.0
abespinhado,assanhadiço,1.0
abespinhado,assomadiço,1.0
abespinhado,assomado,1.0
abespinhado,atrabiliário,1.0
abespinhado,atrabilioso,1.0
abespinhado,azougado,1.0
abespinhado,cavaquista,1.0
abespinhado,colérico,1.0
abespinhado,fogoso,1.0
abespinhado,genioso,1.0
abespinhado,iracundo,1.0
abespinhado,irascível,1.0
abespinhado,iroso,1.0
abespinhado,irritadiço,1.0
abespinhado,irritável,1.0
abespinhado,raivento,1.0
abespinhado,raivudo,1.0
abespinhado,tomadiço,1.0
abespinhado,violento,1.0
abespinhado,zangadiço,1.0
abespinhado,zangado,1.0
abespinhado,acirrado,1.0
abespinhado,agastado,1.0
abespinhado,aquecido,1.0
abespinhado,assanhado,1.0
abespinhado,assomado,1.0
abespinhado,azedado,1.0
abespinhado,bramoso,1.0
abespinhado,bravo,1.0
abespinhado,colérico,1.0
abespinhado,danado,1.0
abespinhado,embravecido,1.0
abespinhado,encanzinado,1.0
abespinhado,encolerizado,1.0
abespinhado,enfurecido,1.0
abespinhado,enfuriado,1.0
abespinhado,enraivado,1.0
abespinhado,enraivecido,1.0
abespinhado,enviperado,1.0
abespinhado,escabreado,1.0
abespinhado,espumante,1.0
abespinhado,estramontado,1.0
abespinhado,exacerbado,1.0
abespinhado,exasperado,1.0
abespinhado,furente,1.0
abespinhado,furibundo,1.0
abespinhado,furioso,1.0
abespinhado,iracundo,1.0
abespinhado,irado,1.0
abespinhado,irritado,1.0
abespinhado,rábido,1.0
abespinhado,rabioso,1.0
abespinhado,raivento,1.0
abespinhado,raivoso,1.0
abespinhado,sanhoso,1.0
abespinhado,sanhudo,1.0
abespinhado,zangado,1.0
