source,target,value
abespinhável,abespinhado,1.0
abespinhável,agastadiço,1.0
abespinhável,anojadiço,1.0
abespinhável,árdego,1.0
abespinhável,argonaço,1.0
abespinhável,assanhadiço,1.0
abespinhável,assomadiço,1.0
abespinhável,assomado,1.0
abespinhável,atrabiliário,1.0
abespinhável,atrabilioso,1.0
abespinhável,azougado,1.0
abespinhável,cavaquista,1.0
abespinhável,colérico,1.0
abespinhável,fogoso,1.0
abespinhável,genioso,1.0
abespinhável,iracundo,1.0
abespinhável,irascível,1.0
abespinhável,iroso,1.0
abespinhável,irritadiço,1.0
abespinhável,irritável,1.0
abespinhável,raivento,1.0
abespinhável,raivudo,1.0
abespinhável,tomadiço,1.0
abespinhável,violento,1.0
abespinhável,zangadiço,1.0
abespinhável,zangado,1.0
abespinhável,Rebeubéu,1.0
