source,target,value
abobalhado,abajoujado,1.0
abobalhado,abananado,1.0
abobalhado,abestalhado,1.0
abobalhado,abobado,1.0
abobalhado,abobarrado,1.0
abobalhado,aboleimado,1.0
abobalhado,alvar,1.0
abobalhado,apalermado,1.0
abobalhado,aparvado,1.0
abobalhado,aparvanhado,1.0
abobalhado,aparvoado,1.0
abobalhado,apatetado,1.0
abobalhado,apombocado,1.0
abobalhado,atolambado,1.0
abobalhado,atoleimado,1.0
abobalhado,atroado,1.0
abobalhado,avoado,1.0
abobalhado,hebetizado,1.0
abobalhado,manzanza,1.0
abobalhado,mazanza,1.0
abobalhado,soronga,1.0
abobalhado,sorongo,1.0
abobalhado,tarouco,1.0
abobalhado,tolo,1.0
