source,target,value
abrandar,adormecer,1.0
abrandar,atenuar,1.0
abrandar,brandear,1.0
abrandar,enfraquecer,1.0
abrandar,enfraquentar,1.0
abrandar,esbater,1.0
abrandar,amaciar,1.0
abrandar,amolecer,1.0
abrandar,brandear,1.0
abrandar,comover,1.0
abrandar,degelar,1.0
abrandar,derreter,1.0
abrandar,desempedernecer,1.0
abrandar,desempedernir,1.0
abrandar,desencruar,1.0
abrandar,embrandecer,1.0
abrandar,enternecer,1.0
abrandar,maciar,1.0
abrandar,render,1.0
abrandar,empedernecer,1.0
abrandar,empedernir,1.0
abrandar,empedrenir,1.0
abrandar,emperrar,1.0
abrandar,encruar,1.0
abrandar,encruecer,1.0
abrandar,encruentar,1.0
abrandar,endurar,1.0
abrandar,endurecer,1.0
abrandar,endurentar,1.0
abrandar,insensibilizar,1.0
abrandar,obdurar,1.0
abrandar,petrificar,1.0
abrandar,abemolar,1.0
abrandar,acalentar,1.0
abrandar,acalmar,1.0
abrandar,adoçar,1.0
abrandar,afroixar,1.0
abrandar,afrouxar,1.0
abrandar,aligeirar,1.0
abrandar,aliviar,1.0
abrandar,amaciar,1.0
abrandar,amainar,1.0
abrandar,amansar,1.0
abrandar,ameigar,1.0
abrandar,amenizar,1.0
abrandar,amolecer,1.0
abrandar,amortecer,1.0
abrandar,amortificar,1.0
abrandar,apagar,1.0
abrandar,aplacar,1.0
abrandar,aquebrantar,1.0
abrandar,arrefecer,1.0
abrandar,atenuar,1.0
abrandar,brandear,1.0
abrandar,calmar,1.0
abrandar,ceder,1.0
abrandar,comutar,1.0
abrandar,diluir,1.0
abrandar,diminuir,1.0
abrandar,edulcorar,1.0
abrandar,emortecer,1.0
abrandar,laxar,1.0
abrandar,lenificar,1.0
abrandar,lenir,1.0
abrandar,maciar,1.0
abrandar,malear,1.0
abrandar,minorar,1.0
abrandar,minuir,1.0
abrandar,mitigar,1.0
abrandar,moderar,1.0
abrandar,molificar,1.0
abrandar,placar,1.0
abrandar,quebrantar,1.0
abrandar,quebrar,1.0
abrandar,reduzir,1.0
abrandar,refecer,1.0
abrandar,refrigerar,1.0
abrandar,remitir,1.0
abrandar,retundir,1.0
abrandar,suavizar,1.0
abrandar,aumentar,1.0
abrandar,exacerbar,1.0
abrandar,intensificar,1.0
abrandar,reagravar,1.0
abrandar,recrescer,1.0
abrandar,recrudescer,1.0
abrandar,acalmar,1.0
abrandar,apacificar,1.0
abrandar,apaziguar,1.0
abrandar,aplacar,1.0
abrandar,asserenar,1.0
abrandar,brandear,1.0
abrandar,calmar,1.0
abrandar,desalterar,1.0
abrandar,desamotinar,1.0
abrandar,encalmar,1.0
abrandar,pacificar,1.0
abrandar,paziguar,1.0
abrandar,placar,1.0
abrandar,indispor,1.0
abrandar,motinar,1.0
abrandar,revolver,1.0
