source,target,value
absimilhante,dessemelhante,1.0
absimilhante,diferente,1.0
absimilhante,díspar,1.0
absimilhante,dissemelhante,1.0
absimilhante,análogo,1.0
absimilhante,aparente,1.0
absimilhante,assemelhado,1.0
absimilhante,cômpar,1.0
absimilhante,comparável,1.0
absimilhante,conforme,1.0
absimilhante,congênere,1.0
absimilhante,convizinho,1.0
absimilhante,idêntico,1.0
absimilhante,mesmo,1.0
absimilhante,paralelo,1.0
absimilhante,parecente,1.0
absimilhante,parecido,1.0
absimilhante,semelhante,1.0
absimilhante,símile,1.0
