source,target,value
abusado,arrebitado,1.0
abusado,atrevido,1.0
abusado,cínico,1.0
abusado,confiado,1.0
abusado,desaforado,1.0
abusado,desavergonhado,1.0
abusado,desbriado,1.0
abusado,descarado,1.0
abusado,descocado,1.0
abusado,desenvergonhado,1.0
abusado,desfaçado,1.0
abusado,desfaçatoso,1.0
abusado,deslavado,1.0
abusado,despejado,1.0
abusado,despudorado,1.0
abusado,desvergonhado,1.0
abusado,impudente,1.0
abusado,impudico,1.0
abusado,insolente,1.0
abusado,patife,1.0
abusado,petulante,1.0
abusado,procaz,1.0
abusado,protervo,1.0
abusado,safado,1.0
abusado,sem-vergonha,1.0
abusado,atraiçoado,1.0
abusado,baldrocado,1.0
abusado,burlado,1.0
abusado,caroneado,1.0
abusado,deluso,1.0
abusado,embaçado,1.0
abusado,embaído,1.0
abusado,embalado,1.0
abusado,engalhopado,1.0
abusado,enganado,1.0
abusado,engazopado,1.0
abusado,engodado,1.0
abusado,engrolado,1.0
abusado,engrupido,1.0
abusado,entretido,1.0
abusado,escarnecido,1.0
abusado,escarnido,1.0
abusado,iludido,1.0
abusado,iluso,1.0
abusado,logrado,1.0
abusado,ludibriado,1.0
abusado,mistificado,1.0
abusado,tapeado,1.0
abusado,abiúdo,1.0
abusado,adiantado,1.0
abusado,assanhado,1.0
abusado,bisbilhoteiro,1.0
abusado,chegadiço,1.0
abusado,curioso,1.0
abusado,enxerido,1.0
abusado,importuno,1.0
abusado,indiscreto,1.0
abusado,intrometidiço,1.0
abusado,intrometido,1.0
abusado,intruso,1.0
abusado,metediço,1.0
abusado,metido,1.0
abusado,xereta,1.0
