source,target,value
acasmurrado,acérrimo,1.0
acasmurrado,acirrado,1.0
acasmurrado,aferrado,1.0
acasmurrado,afincado,1.0
acasmurrado,amarroado,1.0
acasmurrado,cabeçudo,1.0
acasmurrado,capitoso,1.0
acasmurrado,casmurro,1.0
acasmurrado,contumaz,1.0
acasmurrado,ferrado,1.0
acasmurrado,ferrenho,1.0
acasmurrado,insistente,1.0
acasmurrado,marroaz,1.0
acasmurrado,obstinado,1.0
acasmurrado,opiniático,1.0
acasmurrado,opinioso,1.0
acasmurrado,perro,1.0
acasmurrado,persistente,1.0
acasmurrado,pertinaz,1.0
acasmurrado,porfiado,1.0
acasmurrado,porfiador,1.0
acasmurrado,porfiante,1.0
acasmurrado,porfioso,1.0
acasmurrado,recalcitrante,1.0
acasmurrado,renitente,1.0
acasmurrado,resistente,1.0
acasmurrado,revel,1.0
acasmurrado,teimoso,1.0
acasmurrado,tenaz,1.0
acasmurrado,testudo,1.0
acasmurrado,tungador,1.0
