source,target,value
acrescentar,aumentar,1.0
acrescentar,elevar,1.0
acrescentar,acrescer,1.0
acrescentar,adicionar,1.0
acrescentar,adir,1.0
acrescentar,aditar,1.0
acrescentar,agregar,1.0
acrescentar,ajuntar,1.0
acrescentar,aumentar,1.0
acrescentar,coalescer,1.0
acrescentar,juntar,1.0
acrescentar,sobrepor,1.0
acrescentar,somar,1.0
acrescentar,superpor,1.0
acrescentar,temperar,1.0
acrescentar,adicionar,1.0
acrescentar,enxertar,1.0
acrescentar,inserir,1.0
acrescentar,pôr,1.0
acrescentar,cancelar,1.0
acrescentar,ceifar,1.0
acrescentar,cortar,1.0
acrescentar,derriscar,1.0
acrescentar,elidir,1.0
acrescentar,eliminar,1.0
acrescentar,excluir,1.0
acrescentar,glosar,1.0
acrescentar,jarretar,1.0
acrescentar,riscar,1.0
acrescentar,suprimir,1.0
acrescentar,tirar,1.0
acrescentar,agregar,1.0
acrescentar,agrupar,1.0
acrescentar,anexar,1.0
acrescentar,apender,1.0
acrescentar,apensar,1.0
acrescentar,apor,1.0
acrescentar,combinar,1.0
acrescentar,grupar,1.0
acrescentar,incorporar,1.0
acrescentar,integralizar,1.0
acrescentar,integrar,1.0
acrescentar,juntar,1.0
acrescentar,reunir,1.0
acrescentar,suplementar,1.0
acrescentar,desincorporar,1.0
acrescentar,desmembrar,1.0
