source,target,value
acurvar,alquebrar,1.0
acurvar,curvar,1.0
acurvar,prostrar,1.0
acurvar,vergar,1.0
acurvar,alcachinar,1.0
acurvar,alcorcovar,1.0
acurvar,alquebrar,1.0
acurvar,arquear,1.0
acurvar,avergar,1.0
acurvar,cimbrar,1.0
acurvar,corcovar,1.0
acurvar,curvar,1.0
acurvar,desengravitar,1.0
acurvar,dobrar,1.0
acurvar,encurvar,1.0
acurvar,entortar,1.0
acurvar,envergar,1.0
acurvar,recurvar,1.0
acurvar,torcer,1.0
acurvar,tornejar,1.0
acurvar,descurvar,1.0
acurvar,desencurvar,1.0
acurvar,desentortar,1.0
acurvar,desenvergar,1.0
acurvar,endireitar,1.0
