source,target,value
adaptar-se,ajustar-se,1.0
adaptar-se,amoldar-se,1.0
adaptar-se,conformar-se,1.0
adaptar-se,engrenar-se,1.0
adaptar-se,entrosar-se,1.0
adaptar-se,moldar-se,1.0
adaptar-se,aclimatar-se,1.0
adaptar-se,aclimatizar-se,1.0
adaptar-se,acostumar-se,1.0
adaptar-se,aderir,1.0
adaptar-se,climatizar-se,1.0
adaptar-se,encasar-se,1.0
adaptar-se,gostar,1.0
adaptar-se,desacostumar-se,1.0
adaptar-se,adequar-se,1.0
adaptar-se,ajeitar-se,1.0
adaptar-se,ajustar-se,1.0
adaptar-se,arranjar-se,1.0
adaptar-se,conformar-se,1.0
adaptar-se,harmonizar-se,1.0
adaptar-se,proporcionar-se,1.0
