source,target,value
adergar,adregar,1.0
adergar,cair,1.0
adergar,calhar,1.0
adergar,coincidir,1.0
adergar,haver,1.0
adergar,ocorrer,1.0
adergar,suceder,1.0
adergar,vir,1.0
adergar,adregar,1.0
adergar,afinar,1.0
adergar,ajustar,1.0
adergar,apalavrar,1.0
adergar,combinar,1.0
adergar,concertar,1.0
adergar,concordar,1.0
adergar,consonar,1.0
adergar,contratar,1.0
adergar,convencionar,1.0
adergar,estabelecer,1.0
adergar,estipular,1.0
adergar,falar,1.0
adergar,firmar,1.0
adergar,justar,1.0
adergar,negociar,1.0
adergar,pactuar,1.0
adergar,desafinar,1.0
adergar,descombinar,1.0
adergar,destratar,1.0
adergar,distratar,1.0
adergar,considerável,1.0
