source,target,value
afadigar,afrontar,1.0
afadigar,alanhar,1.0
afadigar,aplastar,1.0
afadigar,cansar,1.0
afadigar,esbofar,1.0
afadigar,esfalfar,1.0
afadigar,estafar,1.0
afadigar,estrompar,1.0
afadigar,estropiar,1.0
afadigar,fadigar,1.0
afadigar,fatigar,1.0
afadigar,malaxar,1.0
afadigar,matar,1.0
afadigar,moer,1.0
afadigar,descansar,1.0
afadigar,desfadigar,1.0
afadigar,desfolegar,1.0
afadigar,relaxar,1.0
afadigar,releixar,1.0
afadigar,repoisar,1.0
afadigar,repousar,1.0
afadigar,resfolegar,1.0
afadigar,resfolgar,1.0
afadigar,vacar,1.0
afadigar,afetar,1.0
afadigar,amolestar,1.0
afadigar,assediar,1.0
afadigar,constranger,1.0
afadigar,derrancar,1.0
afadigar,desadorar,1.0
afadigar,desinquietar,1.0
afadigar,desquietar,1.0
afadigar,enfrenesiar,1.0
afadigar,estorvar,1.0
afadigar,frenesiar,1.0
afadigar,impacientar,1.0
afadigar,importunar,1.0
afadigar,incomodar,1.0
afadigar,inquietar,1.0
afadigar,intoxicar,1.0
afadigar,irritar,1.0
afadigar,molestar,1.0
afadigar,obsedar,1.0
afadigar,obsediar,1.0
afadigar,obsidiar,1.0
afadigar,rascar,1.0
afadigar,toxicar,1.0
