source,target,value
afirmar,confirmar,1.0
afirmar,manter,1.0
afirmar,recuar,1.0
afirmar,retirar,1.0
afirmar,retratar,1.0
afirmar,apostar,1.0
afirmar,assegurar,1.0
afirmar,asseverar,1.0
afirmar,atestar,1.0
afirmar,certificar,1.0
afirmar,comprovar,1.0
afirmar,confirmar,1.0
afirmar,dizer,1.0
afirmar,garantir,1.0
afirmar,pretender,1.0
afirmar,protestar,1.0
afirmar,provar,1.0
afirmar,testemunhar,1.0
afirmar,desatestar,1.0
afirmar,desmentir,1.0
afirmar,negar,1.0
afirmar,afixar,1.0
afirmar,assentar,1.0
afirmar,consignar,1.0
afirmar,consolidar,1.0
afirmar,determinar,1.0
afirmar,estabelecer,1.0
afirmar,estatuir,1.0
afirmar,estipular,1.0
afirmar,firmar,1.0
afirmar,fixar,1.0
afirmar,implantar,1.0
afirmar,assegurar,1.0
afirmar,asseverar,1.0
afirmar,caucionar,1.0
afirmar,garantir,1.0
afirmar,jurar,1.0
afirmar,penhorar,1.0
afirmar,prometer,1.0
afirmar,segurar,1.0
afirmar,desautorizar,1.0
afirmar,desmentir,1.0
afirmar,negar,1.0
