source,target,value
aformosentar,alindar,1.0
aformosentar,embelecer,1.0
aformosentar,embelezar,1.0
aformosentar,engrinaldar,1.0
aformosentar,formosear,1.0
aformosentar,afeiar,1.0
aformosentar,desaformosear,1.0
aformosentar,desformosear,1.0
aformosentar,adornar,1.0
aformosentar,aformosar,1.0
aformosentar,aformosear,1.0
aformosentar,ajaezar,1.0
aformosentar,alfaiar,1.0
aformosentar,amoldurar,1.0
aformosentar,aparamentar,1.0
aformosentar,aparatar,1.0
aformosentar,aparelhar,1.0
aformosentar,arrear,1.0
aformosentar,assazoar,1.0
aformosentar,assazonar,1.0
aformosentar,ataviar,1.0
aformosentar,colorar,1.0
aformosentar,colorear,1.0
aformosentar,colorir,1.0
aformosentar,colorizar,1.0
aformosentar,decorar,1.0
aformosentar,embelezar,1.0
aformosentar,embrincar,1.0
aformosentar,emoldar,1.0
aformosentar,emoldurar,1.0
aformosentar,enfeitar,1.0
aformosentar,enflorar,1.0
aformosentar,enflorear,1.0
aformosentar,engalanar,1.0
aformosentar,exornar,1.0
aformosentar,florear,1.0
aformosentar,floretear,1.0
aformosentar,formosear,1.0
aformosentar,formosentar,1.0
aformosentar,galantear,1.0
aformosentar,honestar,1.0
aformosentar,jaezar,1.0
aformosentar,moldurar,1.0
aformosentar,ornamentar,1.0
aformosentar,ornar,1.0
aformosentar,paramentar,1.0
aformosentar,recamar,1.0
aformosentar,revestir,1.0
aformosentar,sazonar,1.0
aformosentar,sobredoirar,1.0
aformosentar,sobredourar,1.0
aformosentar,tecer,1.0
aformosentar,afeiar,1.0
aformosentar,desadornar,1.0
aformosentar,desafeitar,1.0
aformosentar,desalinhar,1.0
aformosentar,desaparelhar,1.0
aformosentar,desataviar,1.0
aformosentar,descompor,1.0
aformosentar,desenfeitar,1.0
aformosentar,desfear,1.0
aformosentar,desguarnecer,1.0
aformosentar,desornar,1.0
aformosentar,destoucar,1.0
aformosentar,enfear,1.0
