source,target,value
afracado,acabrunhado,1.0
afracado,alquebrado,1.0
afracado,amachucado,1.0
afracado,amarroado,1.0
afracado,anemiado,1.0
afracado,anêmico,1.0
afracado,aniquilado,1.0
afracado,atempado,1.0
afracado,atenuado,1.0
afracado,caído,1.0
afracado,caiongo,1.0
afracado,chocho,1.0
afracado,combalido,1.0
afracado,debilitado,1.0
afracado,decrépito,1.0
afracado,definhado,1.0
afracado,depauperado,1.0
afracado,descaído,1.0
afracado,descangotado,1.0
afracado,dessangrado,1.0
afracado,desvitalizado,1.0
afracado,elanguescido,1.0
afracado,enerve,1.0
afracado,enfracado,1.0
afracado,enfraquecido,1.0
afracado,enfraquentado,1.0
afracado,enlanguescido,1.0
afracado,extenuado,1.0
afracado,froixo,1.0
afracado,frouxo,1.0
afracado,langoroso,1.0
afracado,lânguido,1.0
afracado,prostrado,1.0
afracado,vigoroso,1.0
