source,target,value
afroixar,afracar,1.0
afroixar,afrouxar,1.0
afroixar,embotar,1.0
afroixar,enfraquecer,1.0
afroixar,enfraquentar,1.0
afroixar,entibiar,1.0
afroixar,relaxar,1.0
afroixar,releixar,1.0
afroixar,vacilar,1.0
afroixar,afrouxar,1.0
afroixar,alargar,1.0
afroixar,bambar,1.0
afroixar,bambear,1.0
afroixar,desapertar,1.0
afroixar,desarrochar,1.0
afroixar,descerrar,1.0
afroixar,descomprimir,1.0
afroixar,desprender,1.0
afroixar,esbambear,1.0
afroixar,folgar,1.0
afroixar,folgazar,1.0
afroixar,relaxar,1.0
afroixar,releixar,1.0
afroixar,soltar,1.0
afroixar,adstringir,1.0
afroixar,apertar,1.0
afroixar,arrochar,1.0
afroixar,cochar,1.0
afroixar,comprimir,1.0
afroixar,esmagar,1.0
afroixar,estrangular,1.0
afroixar,inquerir,1.0
afroixar,oprimir,1.0
afroixar,premer,1.0
afroixar,premir,1.0
afroixar,abemolar,1.0
afroixar,abrandar,1.0
afroixar,acalentar,1.0
afroixar,acalmar,1.0
afroixar,adoçar,1.0
afroixar,afrouxar,1.0
afroixar,aligeirar,1.0
afroixar,aliviar,1.0
afroixar,amaciar,1.0
afroixar,amainar,1.0
afroixar,amansar,1.0
afroixar,ameigar,1.0
afroixar,amenizar,1.0
afroixar,amolecer,1.0
afroixar,amortecer,1.0
afroixar,amortificar,1.0
afroixar,apagar,1.0
afroixar,aplacar,1.0
afroixar,aquebrantar,1.0
afroixar,arrefecer,1.0
afroixar,atenuar,1.0
afroixar,brandear,1.0
afroixar,calmar,1.0
afroixar,ceder,1.0
afroixar,comutar,1.0
afroixar,diluir,1.0
afroixar,diminuir,1.0
afroixar,edulcorar,1.0
afroixar,emortecer,1.0
afroixar,laxar,1.0
afroixar,lenificar,1.0
afroixar,lenir,1.0
afroixar,maciar,1.0
afroixar,malear,1.0
afroixar,minorar,1.0
afroixar,minuir,1.0
afroixar,mitigar,1.0
afroixar,moderar,1.0
afroixar,molificar,1.0
afroixar,placar,1.0
afroixar,quebrantar,1.0
afroixar,quebrar,1.0
afroixar,reduzir,1.0
afroixar,refecer,1.0
afroixar,refrigerar,1.0
afroixar,remitir,1.0
afroixar,retundir,1.0
afroixar,suavizar,1.0
afroixar,aumentar,1.0
afroixar,exacerbar,1.0
afroixar,intensificar,1.0
afroixar,reagravar,1.0
afroixar,recrescer,1.0
afroixar,recrudescer,1.0
