source,target,value
agaloar,elogiar,1.0
agaloar,enaltar,1.0
agaloar,enaltecer,1.0
agaloar,encarecer,1.0
agaloar,encomiar,1.0
agaloar,gabar,1.0
agaloar,galonar,1.0
agaloar,louvar,1.0
agaloar,assetear,1.0
agaloar,caluniar,1.0
agaloar,demolir,1.0
agaloar,denegrecer,1.0
agaloar,denegrir,1.0
agaloar,desacreditar,1.0
agaloar,desafamar,1.0
agaloar,desclassificar,1.0
agaloar,descreditar,1.0
agaloar,desdoirar,1.0
agaloar,desdourar,1.0
agaloar,deslustrar,1.0
agaloar,desmerecer,1.0
agaloar,desmoralizar,1.0
agaloar,desonestar,1.0
agaloar,desonrar,1.0
agaloar,detrair,1.0
agaloar,detratar,1.0
agaloar,difamar,1.0
agaloar,enegrecer,1.0
agaloar,enxovalhar,1.0
agaloar,ignominiar,1.0
agaloar,infamar,1.0
agaloar,injuriar,1.0
agaloar,manchar,1.0
agaloar,mazelar,1.0
agaloar,obscurecer,1.0
agaloar,rebaixar,1.0
agaloar,setear,1.0
agaloar,sugilar,1.0
agaloar,vituperar,1.0
agaloar,aclarecer,1.0
agaloar,alumbrar,1.0
agaloar,alumiar,1.0
agaloar,clarear,1.0
agaloar,desenegrecer,1.0
agaloar,desentenebrecer,1.0
agaloar,desescurecer,1.0
agaloar,elogiar,1.0
agaloar,enaltar,1.0
agaloar,enaltecer,1.0
agaloar,esclarecer,1.0
agaloar,gabar,1.0
agaloar,galonar,1.0
agaloar,iluminar,1.0
agaloar,assetar,1.0
agaloar,assetear,1.0
agaloar,caluniar,1.0
agaloar,demolir,1.0
agaloar,denegrecer,1.0
agaloar,denegrir,1.0
agaloar,desacreditar,1.0
agaloar,desafamar,1.0
agaloar,desclassificar,1.0
agaloar,descreditar,1.0
agaloar,desdoirar,1.0
agaloar,desdourar,1.0
agaloar,deslustrar,1.0
agaloar,desmerecer,1.0
agaloar,desmoralizar,1.0
agaloar,desonestar,1.0
agaloar,desonrar,1.0
agaloar,detrair,1.0
agaloar,detratar,1.0
agaloar,difamar,1.0
agaloar,enegrecer,1.0
agaloar,esquartejar,1.0
agaloar,improperar,1.0
agaloar,infamar,1.0
agaloar,injuriar,1.0
agaloar,macular,1.0
agaloar,marear,1.0
agaloar,quartejar,1.0
agaloar,rebaixar,1.0
agaloar,setear,1.0
agaloar,vituperar,1.0
