source,target,value
agasalhar-se,acoitar-se,1.0
agasalhar-se,albergar-se,1.0
agasalhar-se,alojar-se,1.0
agasalhar-se,aquartelar-se,1.0
agasalhar-se,asilar-se,1.0
agasalhar-se,estanciar-se,1.0
agasalhar-se,gasalhar-se,1.0
agasalhar-se,hospedar-se,1.0
agasalhar-se,instalar-se,1.0
agasalhar-se,acobertar-se,1.0
agasalhar-se,aquecer-se,1.0
agasalhar-se,cobrir-se,1.0
agasalhar-se,encarapuçar-se,1.0
agasalhar-se,enroupar-se,1.0
agasalhar-se,forrar-se,1.0
agasalhar-se,gasalhar-se,1.0
agasalhar-se,recobrir-se,1.0
agasalhar-se,resguardar-se,1.0
agasalhar-se,roupar-se,1.0
agasalhar-se,tapar-se,1.0
agasalhar-se,descobrir-se,1.0
