source,target,value
agermanar-se,aconchavar-se,1.0
agermanar-se,ajuntar-se,1.0
agermanar-se,aparceirar-se,1.0
agermanar-se,associar-se,1.0
agermanar-se,conchavar-se,1.0
agermanar-se,conluiar-se,1.0
agermanar-se,germanar-se,1.0
agermanar-se,mancomunar-se,1.0
agermanar-se,aliar-se,1.0
agermanar-se,associar-se,1.0
agermanar-se,coalizar-se,1.0
agermanar-se,coligar-se,1.0
agermanar-se,consorciar-se,1.0
agermanar-se,envolver-se,1.0
agermanar-se,ligar-se,1.0
agermanar-se,parcializar-se,1.0
agermanar-se,soldar-se,1.0
agermanar-se,unir-se,1.0
