source,target,value
aguarda,atender,1.0
aguarda,esperar,1.0
aguarda,estar,1.0
aguarda,ficar,1.0
aguarda,desvelar,1.0
aguarda,guardar,1.0
aguarda,resguardar,1.0
aguarda,velar,1.0
aguarda,vigiar,1.0
aguarda,vigilar,1.0
aguarda,aceitar,1.0
aguarda,cumprir,1.0
aguarda,dessaudar,1.0
aguarda,escutar,1.0
aguarda,guardar,1.0
aguarda,manter,1.0
aguarda,obedecer,1.0
aguarda,observar,1.0
aguarda,resguardar,1.0
aguarda,respeitar,1.0
aguarda,seguir,1.0
aguarda,contravir,1.0
aguarda,desacatar,1.0
aguarda,desconjurar,1.0
aguarda,descumprir,1.0
aguarda,desobedecer,1.0
aguarda,desrespeitar,1.0
aguarda,infringir,1.0
aguarda,ofender,1.0
aguarda,postergar,1.0
aguarda,profanar,1.0
aguarda,quebrantar,1.0
aguarda,quebrar,1.0
aguarda,romper,1.0
aguarda,transgredir,1.0
aguarda,transpassar,1.0
aguarda,traspassar,1.0
aguarda,trespassar,1.0
aguarda,violar,1.0
