source,target,value
aguardado,atender,1.0
aguardado,esperar,1.0
aguardado,estar,1.0
aguardado,ficar,1.0
aguardado,desvelar,1.0
aguardado,guardar,1.0
aguardado,resguardar,1.0
aguardado,velar,1.0
aguardado,vigiar,1.0
aguardado,vigilar,1.0
aguardado,aceitar,1.0
aguardado,aguardar,1.0
aguardado,cumprir,1.0
aguardado,dessaudar,1.0
aguardado,escutar,1.0
aguardado,guardar,1.0
aguardado,manter,1.0
aguardado,obedecer,1.0
aguardado,observar,1.0
aguardado,resguardar,1.0
aguardado,respeitar,1.0
aguardado,seguir,1.0
aguardado,contravir,1.0
aguardado,desacatar,1.0
aguardado,desconjurar,1.0
aguardado,descumprir,1.0
aguardado,desobedecer,1.0
aguardado,desrespeitar,1.0
aguardado,infringir,1.0
aguardado,ofender,1.0
aguardado,postergar,1.0
aguardado,profanar,1.0
aguardado,quebrantar,1.0
aguardado,quebrar,1.0
aguardado,romper,1.0
aguardado,transgredir,1.0
aguardado,transpassar,1.0
aguardado,traspassar,1.0
aguardado,trespassar,1.0
aguardado,violar,1.0
