source,target,value
aleijar-se,estropiar-se,1.0
aleijar-se,mutilar-se,1.0
aleijar-se,truncar-se,1.0
aleijar-se,atristar-se,1.0
aleijar-se,contristar-se,1.0
aleijar-se,encaramujar-se,1.0
aleijar-se,engoiar-se,1.0
aleijar-se,enoitecer,1.0
aleijar-se,entristecer-se,1.0
aleijar-se,magoar-se,1.0
aleijar-se,alvoroçar-se,1.0
aleijar-se,alvorotar-se,1.0
aleijar-se,desentristecer-se,1.0
aleijar-se,destristecer-se,1.0
aleijar-se,entusiasmar-se,1.0
aleijar-se,atristar-se,1.0
aleijar-se,contristar-se,1.0
aleijar-se,entristecer-se,1.0
aleijar-se,magoar-se,1.0
aleijar-se,congratular-se,1.0
aleijar-se,estimar,1.0
aleijar-se,exultar,1.0
aleijar-se,folgar,1.0
aleijar-se,folgazar,1.0
aleijar-se,iluminar-se,1.0
aleijar-se,jubilar-se,1.0
aleijar-se,regozijar-se,1.0
aleijar-se,rejubilar-se,1.0
aleijar-se,ufanar-se,1.0
aleijar-se,deprimido,1.0
