source,target,value
alfeninado,ameninado,1.0
alfeninado,débil,1.0
alfeninado,delicado,1.0
alfeninado,fraco,1.0
alfeninado,frágil,1.0
alfeninado,mimoso,1.0
alfeninado,tenro,1.0
alfeninado,apinicado,1.0
alfeninado,casquilho,1.0
alfeninado,catita,1.0
alfeninado,chafalheiro,1.0
alfeninado,chibante,1.0
alfeninado,dandinoso,1.0
alfeninado,espinicado,1.0
alfeninado,garrido,1.0
alfeninado,janota,1.0
alfeninado,petimetre,1.0
alfeninado,pimpão,1.0
alfeninado,sécio,1.0
alfeninado,taful,1.0
alfeninado,tafulo,1.0
alfeninado,afeminado,1.0
alfeninado,amaricado,1.0
alfeninado,amulherado,1.0
alfeninado,amulherengado,1.0
alfeninado,aqualirado,1.0
alfeninado,delicado,1.0
alfeninado,dengoso,1.0
alfeninado,dengueiro,1.0
alfeninado,efeminado,1.0
alfeninado,efeminizado,1.0
alfeninado,enerve,1.0
alfeninado,feminil,1.0
alfeninado,másculo,1.0
alfeninado,varonil,1.0
alfeninado,viril,1.0
