source,target,value
alterar,desarranjar,1.0
alterar,embaraçar,1.0
alterar,estorvar,1.0
alterar,anarquizar,1.0
alterar,atumultar,1.0
alterar,atumultuar,1.0
alterar,desacomodar,1.0
alterar,desaconchegar,1.0
alterar,desajeitar,1.0
alterar,desalinhar,1.0
alterar,desamanhar,1.0
alterar,desarar,1.0
alterar,desarranjar,1.0
alterar,desarrumar,1.0
alterar,descompor,1.0
alterar,desconcertar,1.0
alterar,desconchegar,1.0
alterar,descontrolar,1.0
alterar,desestruturar,1.0
alterar,desmanchar,1.0
alterar,desordenar,1.0
alterar,desorganizar,1.0
alterar,destemperar,1.0
alterar,destruir,1.0
alterar,perturbar,1.0
alterar,acondicionar,1.0
alterar,ajeitar,1.0
alterar,arranjar,1.0
alterar,arrumar,1.0
alterar,compor,1.0
alterar,confeccionar,1.0
alterar,corrigir,1.0
alterar,dispor,1.0
alterar,distribuir,1.0
alterar,elaborar,1.0
alterar,entroixar,1.0
alterar,entrouxar,1.0
alterar,estruturar,1.0
alterar,ordenar,1.0
alterar,organizar,1.0
alterar,decompor,1.0
alterar,deformar,1.0
alterar,demudar,1.0
alterar,desajeitar,1.0
alterar,desformar,1.0
alterar,modificar,1.0
alterar,mudar,1.0
alterar,transfazer,1.0
alterar,transformar,1.0
alterar,transmudar,1.0
alterar,transmutar,1.0
alterar,consertar,1.0
alterar,corrigir,1.0
alterar,curar,1.0
alterar,desentortar,1.0
alterar,emendar,1.0
alterar,endireitar,1.0
alterar,esmondar,1.0
alterar,expurgar,1.0
alterar,mondar,1.0
alterar,recondicionar,1.0
alterar,refazer,1.0
alterar,reformar,1.0
alterar,refundir,1.0
alterar,remediar,1.0
alterar,reparar,1.0
alterar,entortar,1.0
alterar,torcer,1.0
