source,target,value
aluir,assolapar,1.0
aluir,escarvar,1.0
aluir,minar,1.0
aluir,solapar,1.0
aluir,arruinar,1.0
aluir,danar,1.0
aluir,desgraçar,1.0
aluir,estrepar,1.0
aluir,estuporar,1.0
aluir,perder,1.0
aluir,prejudicar,1.0
aluir,apear,1.0
aluir,arrasar,1.0
aluir,arruinar,1.0
aluir,delapidar,1.0
aluir,demolir,1.0
aluir,derribar,1.0
aluir,derrocar,1.0
aluir,derrubar,1.0
aluir,derruir,1.0
aluir,desapear,1.0
aluir,desfabricar,1.0
aluir,desmanchar,1.0
aluir,desmantelar,1.0
aluir,desmontar,1.0
aluir,desmoronar,1.0
aluir,destruir,1.0
aluir,dilapidar,1.0
aluir,dirruir,1.0
aluir,esfacelar,1.0
aluir,esfrangalhar,1.0
aluir,frangalhar,1.0
aluir,arquitetar,1.0
aluir,construir,1.0
aluir,edificar,1.0
aluir,elevar,1.0
aluir,erguer,1.0
aluir,erigir,1.0
aluir,fabricar,1.0
aluir,fazer,1.0
aluir,agitar,1.0
aluir,combalir,1.0
aluir,concutir,1.0
aluir,estremecer,1.0
aluir,fremir,1.0
aluir,sacolejar,1.0
aluir,sacudir,1.0
aluir,tremer,1.0
