source,target,value
amabilidades,atenção,1.0
amabilidades,benevolência,1.0
amabilidades,consideração,1.0
amabilidades,desatenção,1.0
amabilidades,desconsideração,1.0
amabilidades,descortesia,1.0
amabilidades,diplomacia,1.0
amabilidades,fineza,1.0
amabilidades,finura,1.0
amabilidades,gentileza,1.0
amabilidades,afabilidade,1.0
amabilidades,amabilidade,1.0
amabilidades,blandícia,1.0
amabilidades,blandície,1.0
amabilidades,brandura,1.0
amabilidades,docilidade,1.0
amabilidades,doçura,1.0
amabilidades,dulçor,1.0
amabilidades,mansidão,1.0
amabilidades,meiguice,1.0
amabilidades,melifluidade,1.0
amabilidades,perfume,1.0
amabilidades,aspereza,1.0
amabilidades,austeridade,1.0
amabilidades,desabrimento,1.0
amabilidades,desafabilidade,1.0
amabilidades,desamabilidade,1.0
amabilidades,dureza,1.0
amabilidades,estoicismo,1.0
amabilidades,indocilidade,1.0
amabilidades,recacho,1.0
amabilidades,rigidez,1.0
amabilidades,rigor,1.0
amabilidades,rispidez,1.0
amabilidades,rispideza,1.0
amabilidades,rudez,1.0
amabilidades,rudeza,1.0
amabilidades,severidade,1.0
amabilidades,amabilidade,1.0
amabilidades,cortesia,1.0
amabilidades,delicadeza,1.0
amabilidades,lhaneza,1.0
amabilidades,desamabilidade,1.0
amabilidades,descortesia,1.0
amabilidades,grossaria,1.0
amabilidades,grosseria,1.0
amabilidades,impolidez,1.0
amabilidades,indelicadeza,1.0
amabilidades,má-criação,1.0
amabilidades,malcriadez,1.0
amabilidades,rudez,1.0
amabilidades,rudeza,1.0
