source,target,value
ameno,brando,1.0
ameno,clemente,1.0
ameno,moderado,1.0
ameno,inclemente,1.0
ameno,rigoroso,1.0
ameno,amorável,1.0
ameno,belo,1.0
ameno,brando,1.0
ameno,delicado,1.0
ameno,doce,1.0
ameno,dúlcido,1.0
ameno,fagueiro,1.0
ameno,meigo,1.0
ameno,sereno,1.0
ameno,suave,1.0
ameno,afetível,1.0
ameno,afetivo,1.0
ameno,afetuoso,1.0
ameno,agradável,1.0
ameno,amável,1.0
ameno,amorável,1.0
ameno,amoroso,1.0
ameno,aprazenteiro,1.0
ameno,aprazível,1.0
ameno,blandicioso,1.0
ameno,caricioso,1.0
ameno,carinhoso,1.0
ameno,caroável,1.0
ameno,cordial,1.0
ameno,delicado,1.0
ameno,doce,1.0
ameno,fagueiro,1.0
ameno,gentil,1.0
ameno,libente,1.0
ameno,maneiroso,1.0
ameno,mavioso,1.0
ameno,meigo,1.0
ameno,meiguiceiro,1.0
ameno,melieiro,1.0
ameno,mimoso,1.0
ameno,namorado,1.0
ameno,prazenteiro,1.0
ameno,querençoso,1.0
ameno,simpático,1.0
ameno,suave,1.0
ameno,rude,1.0
ameno,aprazível,1.0
ameno,assombrado,1.0
ameno,deleitante,1.0
ameno,deleitável,1.0
ameno,deleitoso,1.0
ameno,delicioso,1.0
ameno,formoso,1.0
ameno,fruitivo,1.0
