source,target,value
amofumbar,acafelar,1.0
amofumbar,acobertar,1.0
amofumbar,assolapar,1.0
amofumbar,cachar,1.0
amofumbar,calar,1.0
amofumbar,capear,1.0
amofumbar,cobrir,1.0
amofumbar,colorar,1.0
amofumbar,colorear,1.0
amofumbar,colorir,1.0
amofumbar,colorizar,1.0
amofumbar,contrafazer,1.0
amofumbar,disfarçar,1.0
amofumbar,dissimular,1.0
amofumbar,encangotar,1.0
amofumbar,encapotar,1.0
amofumbar,encobertar,1.0
amofumbar,encobrir,1.0
amofumbar,envolver,1.0
amofumbar,esconder,1.0
amofumbar,homiziar,1.0
amofumbar,mentir,1.0
amofumbar,ocultar,1.0
amofumbar,omitir,1.0
amofumbar,reprimir,1.0
amofumbar,silenciar,1.0
amofumbar,sobnegar,1.0
amofumbar,solapar,1.0
amofumbar,sonegar,1.0
amofumbar,sufocar,1.0
amofumbar,velar,1.0
amofumbar,acafelar,1.0
amofumbar,acobertar,1.0
amofumbar,contrafazer,1.0
amofumbar,disfarçar,1.0
amofumbar,dissimular,1.0
amofumbar,emascarar,1.0
amofumbar,embuçar,1.0
amofumbar,empanar,1.0
amofumbar,encobertar,1.0
amofumbar,encobrir,1.0
amofumbar,mascarar,1.0
amofumbar,ocultar,1.0
amofumbar,paliar,1.0
amofumbar,rebuçar,1.0
amofumbar,reprimir,1.0
amofumbar,sufocar,1.0
amofumbar,delatar,1.0
amofumbar,descerrar,1.0
amofumbar,descobrir,1.0
amofumbar,descortinar,1.0
amofumbar,desembuçar,1.0
amofumbar,desencerrar,1.0
amofumbar,desencobrir,1.0
amofumbar,desenterrar,1.0
amofumbar,dessoterrar,1.0
amofumbar,desvelar,1.0
amofumbar,desvendar,1.0
amofumbar,evidenciar,1.0
amofumbar,expirar,1.0
amofumbar,expor,1.0
amofumbar,franquear,1.0
amofumbar,mostrar,1.0
amofumbar,palrar,1.0
amofumbar,palrear,1.0
amofumbar,passar,1.0
amofumbar,patentear,1.0
amofumbar,patentizar,1.0
amofumbar,respirar,1.0
amofumbar,revelar,1.0
