source,target,value
amolestar-se,chocar-se,1.0
amolestar-se,escandalizar-se,1.0
amolestar-se,ferir-se,1.0
amolestar-se,formalizar-se,1.0
amolestar-se,machucar-se,1.0
amolestar-se,magoar-se,1.0
amolestar-se,melindrar-se,1.0
amolestar-se,molestar-se,1.0
amolestar-se,ofender-se,1.0
amolestar-se,picar-se,1.0
amolestar-se,ressentir-se,1.0
amolestar-se,sentir-se,1.0
amolestar-se,susceptibilizar-se,1.0
amolestar-se,suscetibilizar-se,1.0
amolestar-se,traumatizar-se,1.0
amolestar-se,ulcerar-se,1.0
amolestar-se,aperrear-se,1.0
amolestar-se,apoquentar-se,1.0
amolestar-se,arreliar-se,1.0
amolestar-se,desconfiar,1.0
amolestar-se,desinquietar-se,1.0
amolestar-se,encalmar-se,1.0
amolestar-se,enfezar-se,1.0
amolestar-se,enquizilar-se,1.0
amolestar-se,escamar-se,1.0
amolestar-se,esquentar-se,1.0
amolestar-se,importunar-se,1.0
amolestar-se,incomodar-se,1.0
amolestar-se,irritar-se,1.0
amolestar-se,molestar-se,1.0
amolestar-se,quizilar-se,1.0
