source,target,value
animar-se,encorajar-se,1.0
animar-se,esforçar-se,1.0
animar-se,congelar-se,1.0
animar-se,desacorçoar-se,1.0
animar-se,desalentar-se,1.0
animar-se,descoraçar-se,1.0
animar-se,descoroçoar-se,1.0
animar-se,resfriar-se,1.0
animar-se,atrever-se,1.0
animar-se,comover-se,1.0
animar-se,decidir-se,1.0
animar-se,deliberar-se,1.0
animar-se,deslindar-se,1.0
animar-se,determinar-se,1.0
animar-se,empreender,1.0
animar-se,ousar,1.0
animar-se,resolver-se,1.0
animar-se,congelar-se,1.0
animar-se,desacorçoar-se,1.0
animar-se,desalentar-se,1.0
animar-se,descoraçar-se,1.0
animar-se,descoroçoar-se,1.0
animar-se,resfriar-se,1.0
