source,target,value
apalavrar,adergar,1.0
apalavrar,adregar,1.0
apalavrar,afinar,1.0
apalavrar,ajustar,1.0
apalavrar,combinar,1.0
apalavrar,concertar,1.0
apalavrar,concordar,1.0
apalavrar,consonar,1.0
apalavrar,contratar,1.0
apalavrar,convencionar,1.0
apalavrar,estabelecer,1.0
apalavrar,estipular,1.0
apalavrar,falar,1.0
apalavrar,firmar,1.0
apalavrar,justar,1.0
apalavrar,negociar,1.0
apalavrar,pactuar,1.0
apalavrar,desafinar,1.0
apalavrar,descombinar,1.0
apalavrar,destratar,1.0
apalavrar,distratar,1.0
