source,target,value
apavorar-se,acovardar-se,1.0
apavorar-se,agalinhar-se,1.0
apavorar-se,amedrontar-se,1.0
apavorar-se,amoquecar-se,1.0
apavorar-se,apoltronar-se,1.0
apavorar-se,assustar-se,1.0
apavorar-se,atemorizar-se,1.0
apavorar-se,aterrar-se,1.0
apavorar-se,encobardar-se,1.0
apavorar-se,encovardar-se,1.0
apavorar-se,estarrecer-se,1.0
apavorar-se,esterrecer-se,1.0
apavorar-se,estremecer-se,1.0
apavorar-se,gelar-se,1.0
apavorar-se,intimidar-se,1.0
apavorar-se,atemorizar-se,1.0
apavorar-se,sobressaltar-se,1.0
apavorar-se,sobressaltear-se,1.0
