source,target,value
apaziguar,acalentar,1.0
apaziguar,acalmar,1.0
apaziguar,achanar,1.0
apaziguar,amansar,1.0
apaziguar,apacificar,1.0
apaziguar,calmar,1.0
apaziguar,contentar,1.0
apaziguar,descansar,1.0
apaziguar,pacificar,1.0
apaziguar,paziguar,1.0
apaziguar,repoisar,1.0
apaziguar,repousar,1.0
apaziguar,sossegar,1.0
apaziguar,agitar,1.0
apaziguar,alterar,1.0
apaziguar,azougar,1.0
apaziguar,desassossegar,1.0
apaziguar,desquietar,1.0
apaziguar,dessossegar,1.0
apaziguar,exagitar,1.0
apaziguar,excitar,1.0
apaziguar,fermentar,1.0
apaziguar,inquietar,1.0
apaziguar,perturbar,1.0
apaziguar,preocupar,1.0
apaziguar,revolucionar,1.0
apaziguar,avir,1.0
apaziguar,benquistar,1.0
apaziguar,compatibilizar,1.0
apaziguar,compor,1.0
apaziguar,concertar,1.0
apaziguar,conciliar,1.0
apaziguar,concordar,1.0
apaziguar,conformar,1.0
apaziguar,congraçar,1.0
apaziguar,consociar,1.0
apaziguar,dispor,1.0
apaziguar,engraçar,1.0
apaziguar,enlaçar,1.0
apaziguar,entrosar,1.0
apaziguar,harmonizar,1.0
apaziguar,paziguar,1.0
apaziguar,reaproximar,1.0
apaziguar,recompor,1.0
apaziguar,reconciliar,1.0
apaziguar,recongraçar,1.0
apaziguar,reunir,1.0
apaziguar,sintonizar,1.0
apaziguar,temperar,1.0
apaziguar,unificar,1.0
apaziguar,desamistar,1.0
apaziguar,desarmonizar,1.0
apaziguar,desavir,1.0
apaziguar,descombinar,1.0
apaziguar,desconcertar,1.0
apaziguar,desconciliar,1.0
apaziguar,desentrosar,1.0
apaziguar,dividir,1.0
apaziguar,incompatibilizar,1.0
apaziguar,indispor,1.0
apaziguar,inimistar,1.0
apaziguar,inimizar,1.0
apaziguar,malquistar,1.0
apaziguar,abrandar,1.0
apaziguar,acalmar,1.0
apaziguar,apacificar,1.0
apaziguar,aplacar,1.0
apaziguar,asserenar,1.0
apaziguar,brandear,1.0
apaziguar,calmar,1.0
apaziguar,desalterar,1.0
apaziguar,desamotinar,1.0
apaziguar,encalmar,1.0
apaziguar,pacificar,1.0
apaziguar,paziguar,1.0
apaziguar,placar,1.0
apaziguar,indispor,1.0
apaziguar,motinar,1.0
apaziguar,revolver,1.0
apaziguar,achanar,1.0
apaziguar,acomodar,1.0
apaziguar,apacificar,1.0
apaziguar,aquedar,1.0
apaziguar,aquietar,1.0
apaziguar,asserenar,1.0
apaziguar,contemporizar,1.0
apaziguar,desanuviar,1.0
apaziguar,descansar,1.0
apaziguar,desencrespar,1.0
apaziguar,pacificar,1.0
apaziguar,paziguar,1.0
apaziguar,quietar,1.0
apaziguar,repoisar,1.0
apaziguar,repousar,1.0
apaziguar,sedar,1.0
apaziguar,serenar,1.0
apaziguar,sossegar,1.0
apaziguar,agitar,1.0
apaziguar,alborotar,1.0
apaziguar,alterar,1.0
apaziguar,alvoroçar,1.0
apaziguar,alvorotar,1.0
apaziguar,azougar,1.0
apaziguar,conturbar,1.0
apaziguar,convulsionar,1.0
apaziguar,desacomodar,1.0
apaziguar,desassossegar,1.0
apaziguar,desquietar,1.0
apaziguar,dessossegar,1.0
apaziguar,deturbar,1.0
apaziguar,disturbar,1.0
apaziguar,estrompar,1.0
apaziguar,excitar,1.0
apaziguar,inquietar,1.0
apaziguar,intranqüilizar,1.0
apaziguar,perturbar,1.0
apaziguar,preocupar,1.0
apaziguar,transtornar,1.0
apaziguar,vascolejar,1.0
