source,target,value
apercebido,aparelhado,1.0
apercebido,aprovisionado,1.0
apercebido,esquipado,1.0
apercebido,fornido,1.0
apercebido,guarnecido,1.0
apercebido,munido,1.0
apercebido,desguarnecido,1.0
apercebido,desprovido,1.0
apercebido,avistado,1.0
apercebido,distinguido,1.0
apercebido,divisado,1.0
apercebido,aparelhado,1.0
apercebido,aposto,1.0
apercebido,aprestado,1.0
apercebido,disposto,1.0
apercebido,preparado,1.0
apercebido,preste,1.0
apercebido,prestes,1.0
apercebido,pronto,1.0
apercebido,advertido,1.0
apercebido,apragatado,1.0
apercebido,avisado,1.0
apercebido,cauteloso,1.0
apercebido,cauto,1.0
apercebido,circunspecto,1.0
apercebido,circunspeto,1.0
apercebido,cuidadoso,1.0
apercebido,cuidoso,1.0
apercebido,precatado,1.0
apercebido,precavido,1.0
apercebido,prevenido,1.0
apercebido,previdente,1.0
apercebido,providente,1.0
apercebido,próvido,1.0
apercebido,descautelado,1.0
apercebido,descauteloso,1.0
apercebido,desprecatado,1.0
apercebido,desprecavido,1.0
apercebido,desprevenido,1.0
apercebido,imprecatado,1.0
apercebido,imprevidente,1.0
apercebido,imprudente,1.0
apercebido,incauto,1.0
