source,target,value
apoquentar-se,amolestar-se,1.0
apoquentar-se,aperrear-se,1.0
apoquentar-se,arreliar-se,1.0
apoquentar-se,desconfiar,1.0
apoquentar-se,desinquietar-se,1.0
apoquentar-se,encalmar-se,1.0
apoquentar-se,enfezar-se,1.0
apoquentar-se,enquizilar-se,1.0
apoquentar-se,escamar-se,1.0
apoquentar-se,esquentar-se,1.0
apoquentar-se,importunar-se,1.0
apoquentar-se,incomodar-se,1.0
apoquentar-se,irritar-se,1.0
apoquentar-se,molestar-se,1.0
apoquentar-se,quizilar-se,1.0
apoquentar-se,afligir-se,1.0
apoquentar-se,amachucar-se,1.0
apoquentar-se,angustiar-se,1.0
apoquentar-se,atormentar-se,1.0
apoquentar-se,atribular-se,1.0
apoquentar-se,compungir-se,1.0
apoquentar-se,confranger-se,1.0
apoquentar-se,infernar-se,1.0
apoquentar-se,infernizar-se,1.0
apoquentar-se,ralar-se,1.0
apoquentar-se,deprimido,1.0
