source,target,value
arenguear,concionar,1.0
arenguear,discursar,1.0
arenguear,falar,1.0
arenguear,chalrar,1.0
arenguear,chalrear,1.0
arenguear,palrar,1.0
arenguear,palrear,1.0
arenguear,aporfiar,1.0
arenguear,arengar,1.0
arenguear,argüir,1.0
arenguear,argumentar,1.0
arenguear,batalhar,1.0
arenguear,brigar,1.0
arenguear,certar,1.0
arenguear,contender,1.0
arenguear,contestar,1.0
arenguear,debater,1.0
arenguear,digladiar,1.0
arenguear,discutir,1.0
arenguear,disputar,1.0
arenguear,gladiar,1.0
arenguear,lutar,1.0
arenguear,pendeciar,1.0
arenguear,pleitear,1.0
arenguear,porfiar,1.0
arenguear,pugnar,1.0
arenguear,querelar,1.0
arenguear,questionar,1.0
arenguear,renhir,1.0
arenguear,rezingar,1.0
arenguear,rusgar,1.0
arenguear,testilhar,1.0
arenguear,tratar,1.0
arenguear,triscar,1.0
