source,target,value
argumentar,concluir,1.0
argumentar,deduzir,1.0
argumentar,argüir,1.0
argumentar,aporfiar,1.0
argumentar,arengar,1.0
argumentar,arenguear,1.0
argumentar,argüir,1.0
argumentar,batalhar,1.0
argumentar,brigar,1.0
argumentar,certar,1.0
argumentar,contender,1.0
argumentar,contestar,1.0
argumentar,debater,1.0
argumentar,digladiar,1.0
argumentar,discutir,1.0
argumentar,disputar,1.0
argumentar,gladiar,1.0
argumentar,lutar,1.0
argumentar,pendeciar,1.0
argumentar,pleitear,1.0
argumentar,porfiar,1.0
argumentar,pugnar,1.0
argumentar,querelar,1.0
argumentar,questionar,1.0
argumentar,renhir,1.0
argumentar,rezingar,1.0
argumentar,rusgar,1.0
argumentar,testilhar,1.0
argumentar,tratar,1.0
argumentar,triscar,1.0
