source,target,value
arruado,andarilhar,1.0
arruado,arruar,1.0
arruado,bangular,1.0
arruado,bestar,1.0
arruado,bestear,1.0
arruado,ciganear,1.0
arruado,corricar,1.0
arruado,deambular,1.0
arruado,desvairar,1.0
arruado,desvariar,1.0
arruado,divagar,1.0
arruado,doidejar,1.0
arruado,doudejar,1.0
arruado,errar,1.0
arruado,flanar,1.0
arruado,girar,1.0
arruado,perambular,1.0
arruado,pervagar,1.0
arruado,vagabundar,1.0
arruado,vagabundear,1.0
arruado,vagamundear,1.0
arruado,vagar,1.0
arruado,vaguear,1.0
arruado,vaguejar,1.0
arruado,zanzar,1.0
arruado,zaranzar,1.0
