source,target,value
arruinador,degastador,1.0
arruinador,desaproveitado,1.0
arruinador,desbaratador,1.0
arruinador,desgovernado,1.0
arruinador,desperdiçado,1.0
arruinador,desperdiçador,1.0
arruinador,desperdiçante,1.0
arruinador,desregrado,1.0
arruinador,dilapidador,1.0
arruinador,dissipado,1.0
arruinador,dissipador,1.0
arruinador,esbanjador,1.0
arruinador,esperdiçador,1.0
arruinador,esperdiçante,1.0
arruinador,estragador,1.0
arruinador,estróina,1.0
arruinador,extravagante,1.0
arruinador,gastador,1.0
arruinador,malgovernado,1.0
arruinador,manirroto,1.0
arruinador,perdulário,1.0
arruinador,prodigalizador,1.0
arruinador,pródigo,1.0
arruinador,governado,1.0
arruinador,parcimonioso,1.0
arruinador,parco,1.0
arruinador,poupado,1.0
