source,target,value
arrumada,estivar,1.0
arrumada,arrumar,1.0
arrumada,vestir,1.0
arrumada,colocar,1.0
arrumada,empregar,1.0
arrumada,estabelecer,1.0
arrumada,acondicionar,1.0
arrumada,ajeitar,1.0
arrumada,arranjar,1.0
arrumada,arrumar,1.0
arrumada,compor,1.0
arrumada,confeccionar,1.0
arrumada,corrigir,1.0
arrumada,dispor,1.0
arrumada,distribuir,1.0
arrumada,elaborar,1.0
arrumada,entroixar,1.0
arrumada,entrouxar,1.0
arrumada,estruturar,1.0
arrumada,ordenar,1.0
arrumada,anarquizar,1.0
arrumada,atumultar,1.0
arrumada,atumultuar,1.0
arrumada,desacomodar,1.0
arrumada,desaconchegar,1.0
arrumada,desajeitar,1.0
arrumada,desalinhar,1.0
arrumada,desamanhar,1.0
arrumada,desarar,1.0
arrumada,desarranjar,1.0
arrumada,desarrumar,1.0
arrumada,descompor,1.0
arrumada,desconcertar,1.0
arrumada,desconchegar,1.0
arrumada,descontrolar,1.0
arrumada,desestruturar,1.0
arrumada,desmanchar,1.0
arrumada,desordenar,1.0
arrumada,desorganizar,1.0
arrumada,destemperar,1.0
arrumada,destruir,1.0
arrumada,perturbar,1.0
arrumada,tumultuar,1.0
