source,target,value
arrumar-se,colocar-se,1.0
arrumar-se,empregar-se,1.0
arrumar-se,estabelecer-se,1.0
arrumar-se,acondicionar-se,1.0
arrumar-se,ajeitar-se,1.0
arrumar-se,arranjar-se,1.0
arrumar-se,dispor-se,1.0
arrumar-se,estruturar-se,1.0
arrumar-se,ordenar-se,1.0
arrumar-se,anarquizar-se,1.0
arrumar-se,atumultar-se,1.0
arrumar-se,atumultuar-se,1.0
arrumar-se,debandar-se,1.0
arrumar-se,desacomodar-se,1.0
arrumar-se,desajeitar-se,1.0
arrumar-se,desarranjar-se,1.0
arrumar-se,descompor-se,1.0
arrumar-se,desestruturar-se,1.0
arrumar-se,desordenar-se,1.0
arrumar-se,desorganizar-se,1.0
arrumar-se,perturbar-se,1.0
arrumar-se,tumultuar-se,1.0
arrumar-se,arranjar-se,1.0
arrumar-se,casar-se,1.0
arrumar-se,esposar-se,1.0
arrumar-se,desquitar-se,1.0
arrumar-se,divorciar-se,1.0
arrumar-se,quitar-se,1.0
arrumar-se,separar-se,1.0
arrumar-se,avir-se,1.0
arrumar-se,haver-se,1.0
