source,target,value
assaltar,assaltear,1.0
assaltar,assediar,1.0
assaltar,assaltear,1.0
assaltar,encontrar,1.0
assaltar,pegar,1.0
assaltar,sobressaltar,1.0
assaltar,sobressaltear,1.0
assaltar,surpreender,1.0
assaltar,surpresar,1.0
assaltar,tomar,1.0
assaltar,acudir,1.0
assaltar,assaltear,1.0
assaltar,despontar,1.0
assaltar,escordar,1.0
assaltar,lembrar,1.0
assaltar,ocorrer,1.0
assaltar,reconvir,1.0
assaltar,recordar,1.0
assaltar,acometer,1.0
assaltar,aferrar,1.0
assaltar,agredir,1.0
assaltar,arremeter,1.0
assaltar,assaltear,1.0
assaltar,atacar,1.0
assaltar,atirar-se,1.0
assaltar,avançar,1.0
assaltar,carregar,1.0
assaltar,crescer,1.0
assaltar,investir,1.0
assaltar,ir,1.0
assaltar,opugnar,1.0
assaltar,partir,1.0
assaltar,remeter,1.0
assaltar,saltear,1.0
assaltar,voltar-se,1.0
