source,target,value
assazoar-se,amadurecer-se,1.0
assazoar-se,assazonar-se,1.0
assazoar-se,madurar-se,1.0
assazoar-se,madurecer-se,1.0
assazoar-se,maturar-se,1.0
assazoar-se,sazonar-se,1.0
assazoar-se,acurar-se,1.0
assazoar-se,aperfeiçoar-se,1.0
assazoar-se,aprimorar-se,1.0
assazoar-se,apurar-se,1.0
assazoar-se,assazonar-se,1.0
assazoar-se,atilar-se,1.0
assazoar-se,esmerar-se,1.0
assazoar-se,lapidar-se,1.0
assazoar-se,perfeiçoar-se,1.0
assazoar-se,polir-se,1.0
assazoar-se,primorar-se,1.0
assazoar-se,refinar-se,1.0
assazoar-se,requintar-se,1.0
assazoar-se,sazonar-se,1.0
