source,target,value
asselvajar,abrutar,1.0
asselvajar,ajavardar,1.0
asselvajar,animalizar,1.0
asselvajar,barbarizar,1.0
asselvajar,bestializar,1.0
asselvajar,bestificar,1.0
asselvajar,brutalizar,1.0
asselvajar,brutificar,1.0
asselvajar,descivilizar,1.0
asselvajar,embrutar,1.0
asselvajar,embrutecer,1.0
asselvajar,civilizar,1.0
asselvajar,desbarbarizar,1.0
asselvajar,desbrutalizar,1.0
asselvajar,desembrutecer,1.0
asselvajar,desmoitar,1.0
asselvajar,desmoutar,1.0
asselvajar,domesticar,1.0
asselvajar,humanar,1.0
asselvajar,humanizar,1.0
asselvajar,limar,1.0
asselvajar,policiar,1.0
asselvajar,urbanizar,1.0
asselvajar,Ah,1.0
