source,target,value
assustado,espantado,1.0
assustado,espaventado,1.0
assustado,estremecido,1.0
assustado,sobressaltado,1.0
assustado,sobressalteado,1.0
assustado,trépido,1.0
assustado,acoelhado,1.0
assustado,acovardado,1.0
assustado,amedrontado,1.0
assustado,apavorado,1.0
assustado,arrepiado,1.0
assustado,assombrado,1.0
assustado,atemorado,1.0
assustado,atemorizado,1.0
assustado,despavorido,1.0
assustado,espantado,1.0
assustado,espavorido,1.0
assustado,pávido,1.0
assustado,bambo,1.0
assustado,claudicante,1.0
assustado,duvidoso,1.0
assustado,hesitante,1.0
assustado,incerto,1.0
assustado,indeciso,1.0
assustado,indeliberado,1.0
assustado,irresoluto,1.0
assustado,perplexo,1.0
assustado,titubante,1.0
assustado,titubeante,1.0
assustado,trêmulo,1.0
assustado,trepidante,1.0
assustado,determinado,1.0
assustado,firme,1.0
assustado,inesitante,1.0
assustado,resoluto,1.0
assustado,seguro,1.0
