source,target,value
assustar-se,alvoroçar-se,1.0
assustar-se,alvorotar-se,1.0
assustar-se,ariscar-se,1.0
assustar-se,espantar-se,1.0
assustar-se,espaventar-se,1.0
assustar-se,saltear-se,1.0
assustar-se,sobressaltar-se,1.0
assustar-se,acovardar-se,1.0
assustar-se,agalinhar-se,1.0
assustar-se,amedrontar-se,1.0
assustar-se,amoquecar-se,1.0
assustar-se,apavorar-se,1.0
assustar-se,apoltronar-se,1.0
assustar-se,atemorizar-se,1.0
assustar-se,aterrar-se,1.0
assustar-se,encobardar-se,1.0
assustar-se,encovardar-se,1.0
assustar-se,estarrecer-se,1.0
assustar-se,esterrecer-se,1.0
assustar-se,estremecer-se,1.0
assustar-se,gelar-se,1.0
assustar-se,intimidar-se,1.0
