source,target,value
atassalhar,golpear,1.0
atassalhar,retalhar,1.0
atassalhar,abocar,1.0
atassalhar,aboquejar,1.0
atassalhar,bocar,1.0
atassalhar,aboquejar,1.0
atassalhar,boquejar,1.0
atassalhar,caluniar,1.0
atassalhar,difamar,1.0
atassalhar,morder,1.0
atassalhar,tasquinhar,1.0
atassalhar,arrunhar,1.0
atassalhar,dilacerar,1.0
atassalhar,esfarrapar,1.0
atassalhar,esfrangalhar,1.0
atassalhar,espandongar,1.0
atassalhar,farrapar,1.0
atassalhar,frangalhar,1.0
atassalhar,lacerar,1.0
atassalhar,rasgar,1.0
atassalhar,romper,1.0
