source,target,value
atônito,absorto,1.0
atônito,abstraído,1.0
atônito,alheado,1.0
atônito,alheio,1.0
atônito,alienado,1.0
atônito,arrebatado,1.0
atônito,embebido,1.0
atônito,embevecido,1.0
atônito,enlevado,1.0
atônito,extasiado,1.0
atônito,extático,1.0
atônito,abotocado,1.0
atônito,afobado,1.0
atônito,arvoado,1.0
atônito,atabalhoado,1.0
atônito,atordoado,1.0
atônito,atrapalhado,1.0
atônito,aturdido,1.0
atônito,avoado,1.0
atônito,avoador,1.0
atônito,azoado,1.0
atônito,azoeirado,1.0
atônito,azoratado,1.0
atônito,baralhado,1.0
atônito,confundido,1.0
atônito,confuso,1.0
atônito,embaraçado,1.0
atônito,enleado,1.0
atônito,perturbado,1.0
atônito,torvado,1.0
atônito,transtornado,1.0
atônito,turbado,1.0
atônito,admirado,1.0
atônito,aparvalhado,1.0
atônito,assarapantado,1.0
atônito,assombrado,1.0
atônito,aturdido,1.0
atônito,azabumbado,1.0
atônito,banzado,1.0
atônito,bestificado,1.0
atônito,boquiaberto,1.0
atônito,contérrito,1.0
atônito,desqueixelado,1.0
atônito,embasbacado,1.0
atônito,espantado,1.0
atônito,estupefato,1.0
atônito,estupefeito,1.0
atônito,extasiado,1.0
atônito,obstupefato,1.0
atônito,obstúpido,1.0
atônito,pasmado,1.0
atônito,pasmo,1.0
atônito,perplexo,1.0
atônito,surpreendido,1.0
atônito,surpreso,1.0
atônito,tolo,1.0
