source,target,value
avolumar,encher,1.0
avolumar,obstruir,1.0
avolumar,volumar,1.0
avolumar,empolar,1.0
avolumar,encapelar,1.0
avolumar,encarneirar,1.0
avolumar,encrespar,1.0
avolumar,enfurecer,1.0
avolumar,enfuriar,1.0
avolumar,volumar,1.0
avolumar,apojar,1.0
avolumar,atufar,1.0
avolumar,bojar,1.0
avolumar,crescer,1.0
avolumar,encher,1.0
avolumar,enfunar,1.0
avolumar,entufar,1.0
avolumar,estufar,1.0
avolumar,inchar,1.0
avolumar,inflar,1.0
avolumar,intumescer,1.0
avolumar,inturgescer,1.0
avolumar,opar,1.0
avolumar,pojar,1.0
avolumar,tufar,1.0
avolumar,tumefazer,1.0
avolumar,tumeficar,1.0
avolumar,tumescer,1.0
avolumar,turgescer,1.0
avolumar,desengrossar,1.0
avolumar,desentumecer,1.0
avolumar,desinchar,1.0
avolumar,desinflar,1.0
avolumar,desintumescer,1.0
avolumar,detumescer,1.0
avolumar,esvazar,1.0
avolumar,esvaziar,1.0
avolumar,vaziar,1.0
avolumar,crescer,1.0
avolumar,encorpar,1.0
avolumar,engrossar,1.0
avolumar,adelgaçar,1.0
avolumar,adelgadar,1.0
avolumar,adelgar,1.0
avolumar,afilar,1.0
avolumar,afinar,1.0
avolumar,afunilar,1.0
avolumar,aguçar,1.0
avolumar,agudar,1.0
avolumar,apontar,1.0
avolumar,delgaçar,1.0
avolumar,desencorpar,1.0
avolumar,desengrossar,1.0
avolumar,enfunilar,1.0
avolumar,estreitar,1.0
avolumar,pontar,1.0
