source,target,value
bajoujar,adular,1.0
bajoujar,afagar,1.0
bajoujar,alisar,1.0
bajoujar,apajear,1.0
bajoujar,apaparicar,1.0
bajoujar,babujar,1.0
bajoujar,bajular,1.0
bajoujar,candongar,1.0
bajoujar,cariciar,1.0
bajoujar,chaleirar,1.0
bajoujar,cortejar,1.0
bajoujar,deslisar,1.0
bajoujar,engraxar,1.0
bajoujar,engrossar,1.0
bajoujar,incensar,1.0
bajoujar,lamber,1.0
bajoujar,lisonjear,1.0
bajoujar,louvaminhar,1.0
bajoujar,pajear,1.0
bajoujar,sorrabar,1.0
bajoujar,titilar,1.0
bajoujar,turibular,1.0
bajoujar,turiferar,1.0
bajoujar,xeretar,1.0
bajoujar,desdenhar,1.0
bajoujar,desfazer,1.0
bajoujar,desprezar,1.0
bajoujar,escarnecer,1.0
bajoujar,esfazer,1.0
bajoujar,humilhar,1.0
bajoujar,menospreçar,1.0
bajoujar,menosprezar,1.0
bajoujar,minguar,1.0
bajoujar,postergar,1.0
bajoujar,sobpor,1.0
bajoujar,tripudiar,1.0
bajoujar,zingrar,1.0
