source,target,value
bajoujo,lamecha,1.0
bajoujo,apancadado,1.0
bajoujo,apancado,1.0
bajoujo,babaca,1.0
bajoujo,babão,1.0
bajoujo,baboso,1.0
bajoujo,banana,1.0
bajoujo,bestalhão,1.0
bajoujo,bobo,1.0
bajoujo,boboca,1.0
bajoujo,bocó,1.0
bajoujo,bucuva,1.0
bajoujo,cretino,1.0
bajoujo,desajeitado,1.0
bajoujo,estólido,1.0
bajoujo,estulto,1.0
bajoujo,idiota,1.0
bajoujo,imbecil,1.0
bajoujo,inepto,1.0
bajoujo,inhenho,1.0
bajoujo,lambão,1.0
bajoujo,lorpa,1.0
bajoujo,maninelo,1.0
bajoujo,nenho,1.0
bajoujo,pacóvio,1.0
bajoujo,palerma,1.0
bajoujo,palonço,1.0
bajoujo,palúrdio,1.0
bajoujo,parvo,1.0
bajoujo,paspalhão,1.0
bajoujo,pateta,1.0
bajoujo,patola,1.0
bajoujo,sandeu,1.0
bajoujo,tacanho,1.0
bajoujo,tolaz,1.0
bajoujo,toleirão,1.0
bajoujo,tolo,1.0
bajoujo,tonto,1.0
bajoujo,zote,1.0
