source,target,value
bazófia,bizarria,1.0
bazófia,bizarrice,1.0
bazófia,blasonaria,1.0
bazófia,fanfarrice,1.0
bazófia,fanfarronice,1.0
bazófia,quixotada,1.0
bazófia,quixotice,1.0
bazófia,quixotismo,1.0
bazófia,bravata,1.0
bazófia,farronca,1.0
bazófia,jactância,1.0
bazófia,pavonada,1.0
bazófia,pimponice,1.0
bazófia,prosa,1.0
bazófia,prosápia,1.0
bazófia,rabularia,1.0
bazófia,rabulice,1.0
bazófia,rebolaria,1.0
bazófia,ronca,1.0
bazófia,roncaria,1.0
bazófia,ronco,1.0
bazófia,barulho,1.0
bazófia,exibicionismo,1.0
bazófia,ostentação,1.0
bazófia,praça,1.0
bazófia,gabarolice,1.0
bazófia,gabo,1.0
bazófia,gabolice,1.0
bazófia,jactância,1.0
bazófia,jatância,1.0
bazófia,lorota,1.0
bazófia,orgulho,1.0
bazófia,poeira,1.0
bazófia,prosápia,1.0
bazófia,tesura,1.0
bazófia,vaidade,1.0
bazófia,vanglória,1.0
bazófia,vento,1.0
