source,target,value
beliscar,estorcegar,1.0
beliscar,estortegar,1.0
beliscar,estrafegar,1.0
beliscar,velicar,1.0
beliscar,debicar,1.0
beliscar,depenicar,1.0
beliscar,gulosear,1.0
beliscar,lambiscar,1.0
beliscar,paparicar,1.0
beliscar,peniscar,1.0
beliscar,petiscar,1.0
beliscar,provar,1.0
beliscar,velicar,1.0
beliscar,bicar,1.0
beliscar,debicar,1.0
beliscar,picar,1.0
beliscar,pinicar,1.0
beliscar,tasquinhar,1.0
beliscar,velicar,1.0
beliscar,acirrar,1.0
beliscar,açodar,1.0
beliscar,acordar,1.0
beliscar,acotovelar,1.0
beliscar,açular,1.0
beliscar,afalcoar,1.0
beliscar,aferroar,1.0
beliscar,afervorar,1.0
beliscar,afoguear,1.0
beliscar,aguilhar,1.0
beliscar,aguilhoar,1.0
beliscar,aliciar,1.0
beliscar,apicaçar,1.0
beliscar,atiçar,1.0
beliscar,concitar,1.0
beliscar,cotovelar,1.0
beliscar,desafiar,1.0
beliscar,despertar,1.0
beliscar,eletrizar,1.0
beliscar,escandescer,1.0
beliscar,esfoguear,1.0
beliscar,espicaçar,1.0
beliscar,esporar,1.0
beliscar,esporear,1.0
beliscar,estimular,1.0
beliscar,estugar,1.0
beliscar,excitar,1.0
beliscar,garrochar,1.0
beliscar,impelir,1.0
beliscar,incitar,1.0
beliscar,inflamar,1.0
beliscar,instigar,1.0
beliscar,mordicar,1.0
beliscar,mordiscar,1.0
beliscar,motivar,1.0
beliscar,picar,1.0
beliscar,provocar,1.0
beliscar,pruir,1.0
beliscar,prurir,1.0
beliscar,pungir,1.0
beliscar,puxar,1.0
beliscar,repruir,1.0
beliscar,reprurir,1.0
beliscar,soprar,1.0
beliscar,desmotivar,1.0
