source,target,value
benigno,benéfico,1.0
benigno,benevolente,1.0
benigno,benévolo,1.0
benigno,benfazente,1.0
benigno,benfeitor,1.0
benigno,bom,1.0
benigno,bondadoso,1.0
benigno,bondoseiro,1.0
benigno,maldadoso,1.0
benigno,maldoso,1.0
benigno,malevolente,1.0
benigno,malévolo,1.0
benigno,maligno,1.0
benigno,amigável,1.0
benigno,benévolo,1.0
benigno,complacente,1.0
benigno,comprazente,1.0
benigno,indulgente,1.0
benigno,bom,1.0
benigno,maléfico,1.0
benigno,molesto,1.0
benigno,nocivo,1.0
benigno,pernicioso,1.0
benigno,prejudicial,1.0
