source,target,value
benévolo,malevolente,1.0
benévolo,malévolo,1.0
benévolo,malquerente,1.0
benévolo,fraternal,1.0
benévolo,benéfico,1.0
benévolo,benevolente,1.0
benévolo,benfazente,1.0
benévolo,benfeitor,1.0
benévolo,benigno,1.0
benévolo,bom,1.0
benévolo,bondadoso,1.0
benévolo,bondoseiro,1.0
benévolo,maldadoso,1.0
benévolo,maldoso,1.0
benévolo,malevolente,1.0
benévolo,malévolo,1.0
benévolo,maligno,1.0
benévolo,amigável,1.0
benévolo,benigno,1.0
benévolo,complacente,1.0
benévolo,comprazente,1.0
benévolo,indulgente,1.0
