source,target,value
berrado,bramar,1.0
berrado,bramir,1.0
berrado,esturrar,1.0
berrado,fremir,1.0
berrado,roncar,1.0
berrado,rugir,1.0
berrado,rugitar,1.0
berrado,urrar,1.0
berrado,berrar,1.0
berrado,berregar,1.0
berrado,bradar,1.0
berrado,bradejar,1.0
berrado,bramir,1.0
berrado,bravejar,1.0
berrado,conclamar,1.0
berrado,deblaterar,1.0
berrado,esbravear,1.0
berrado,esbravecer,1.0
berrado,esbravejar,1.0
berrado,esgoelar,1.0
berrado,estrilar,1.0
berrado,estrondar,1.0
berrado,estrondear,1.0
berrado,exclamar,1.0
berrado,explodir,1.0
berrado,expluir,1.0
berrado,goelar,1.0
berrado,gritar,1.0
berrado,latir,1.0
berrado,mugir,1.0
berrado,uivar,1.0
berrado,ulular,1.0
berrado,vociferar,1.0
