source,target,value
bizarro,bazófio,1.0
bizarro,blasonador,1.0
bizarro,bufador,1.0
bizarro,chibante,1.0
bizarro,fanfarrão,1.0
bizarro,fanfurrião,1.0
bizarro,farfante,1.0
bizarro,farofeiro,1.0
bizarro,farrombeiro,1.0
bizarro,ferrabrás,1.0
bizarro,jactancioso,1.0
bizarro,jactante,1.0
bizarro,jatancioso,1.0
bizarro,jatante,1.0
bizarro,loroteiro,1.0
bizarro,pimpão,1.0
bizarro,rebolão,1.0
bizarro,valentão,1.0
bizarro,vaniloqüente,1.0
bizarro,vaníloquo,1.0
bizarro,generoso,1.0
bizarro,grande,1.0
bizarro,liberal,1.0
bizarro,longânime,1.0
bizarro,longânimo,1.0
bizarro,magnânimo,1.0
bizarro,magnificente,1.0
bizarro,munificente,1.0
bizarro,munífico,1.0
bizarro,nobre,1.0
bizarro,pródigo,1.0
bizarro,esdrúxulo,1.0
bizarro,esquipático,1.0
bizarro,esquisito,1.0
bizarro,estapafúrdico,1.0
bizarro,estapafúrdio,1.0
bizarro,excêntrico,1.0
bizarro,exótico,1.0
bizarro,extravagante,1.0
bizarro,incrível,1.0
bizarro,original,1.0
bizarro,singular,1.0
bizarro,apessoado,1.0
bizarro,aprumado,1.0
bizarro,bem-ajambrado,1.0
bizarro,bem-apresentado,1.0
bizarro,bem-arranjado,1.0
bizarro,bem-arrumado,1.0
bizarro,bem-composto,1.0
bizarro,bem-parecido,1.0
bizarro,bem-posto,1.0
bizarro,bem-vestido,1.0
bizarro,achambonado,1.0
bizarro,chamboado,1.0
bizarro,desalinhado,1.0
bizarro,deselegante,1.0
bizarro,gebo,1.0
bizarro,mal-ajambrado,1.0
bizarro,mal-ajeitado,1.0
bizarro,mal-amanhado,1.0
bizarro,mal-apresentado,1.0
bizarro,mal-arranjado,1.0
bizarro,mal-arrumado,1.0
bizarro,mal-enjorcado,1.0
bizarro,malposto,1.0
bizarro,maltrajado,1.0
bizarro,malvestido,1.0
bizarro,parrana,1.0
