source,target,value
bradar,clamar,1.0
bradar,conclamar,1.0
bradar,pregar,1.0
bradar,vociferar,1.0
bradar,clamar,1.0
bradar,gritar,1.0
bradar,troar,1.0
bradar,trovejar,1.0
bradar,trovoar,1.0
bradar,vozear,1.0
bradar,vozeirar,1.0
bradar,berrar,1.0
bradar,berregar,1.0
bradar,bradejar,1.0
bradar,bramir,1.0
bradar,bravejar,1.0
bradar,conclamar,1.0
bradar,deblaterar,1.0
bradar,esbravear,1.0
bradar,esbravecer,1.0
bradar,esbravejar,1.0
bradar,esgoelar,1.0
bradar,estrilar,1.0
bradar,estrondar,1.0
bradar,estrondear,1.0
bradar,exclamar,1.0
bradar,explodir,1.0
bradar,expluir,1.0
bradar,goelar,1.0
bradar,gritar,1.0
bradar,latir,1.0
bradar,mugir,1.0
bradar,uivar,1.0
bradar,ulular,1.0
bradar,vociferar,1.0
