source,target,value
burlado,atraiçoado,1.0
burlado,baldrocado,1.0
burlado,caroneado,1.0
burlado,deluso,1.0
burlado,embaçado,1.0
burlado,embaído,1.0
burlado,embalado,1.0
burlado,engalhopado,1.0
burlado,enganado,1.0
burlado,engazopado,1.0
burlado,engodado,1.0
burlado,engrolado,1.0
burlado,engrupido,1.0
burlado,entretido,1.0
burlado,escarnecido,1.0
burlado,escarnido,1.0
burlado,iludido,1.0
burlado,iluso,1.0
burlado,logrado,1.0
burlado,ludibriado,1.0
burlado,mistificado,1.0
burlado,tapeado,1.0
burlado,mocinha,1.0
