source,target,value
carambolar,conspirar,1.0
carambolar,enredar,1.0
carambolar,enredear,1.0
carambolar,fradejar,1.0
carambolar,intrigar,1.0
carambolar,lambancear,1.0
carambolar,barrar,1.0
carambolar,bigodear,1.0
carambolar,burlar,1.0
carambolar,capear,1.0
carambolar,caronear,1.0
carambolar,cegar,1.0
carambolar,codilhar,1.0
carambolar,defraudar,1.0
carambolar,deludir,1.0
carambolar,despistar,1.0
carambolar,desvairar,1.0
carambolar,desvariar,1.0
carambolar,embaçar,1.0
carambolar,embaciar,1.0
carambolar,embaucar,1.0
carambolar,embromar,1.0
carambolar,embrulhar,1.0
carambolar,embuçalar,1.0
carambolar,emburricar,1.0
carambolar,embustear,1.0
carambolar,ençampar,1.0
carambolar,engabelar,1.0
carambolar,engambelar,1.0
carambolar,enganar,1.0
carambolar,engrambelar,1.0
carambolar,enrascar,1.0
carambolar,enrodilhar,1.0
carambolar,enrolar,1.0
carambolar,fraudar,1.0
carambolar,gambelar,1.0
carambolar,iludir,1.0
carambolar,impingir,1.0
carambolar,intrujar,1.0
carambolar,intrujir,1.0
carambolar,lograr,1.0
carambolar,ludibriar,1.0
carambolar,mamar,1.0
carambolar,mistificar,1.0
carambolar,pantomimar,1.0
carambolar,pantominar,1.0
carambolar,rodilhar,1.0
carambolar,tapear,1.0
carambolar,trautear,1.0
carambolar,tungar,1.0
carambolar,velhacar,1.0
carambolar,velhaquear,1.0
