source,target,value
censura,encômio,1.0
censura,louvor,1.0
censura,panegírico,1.0
censura,condenação,1.0
censura,desaprovação,1.0
censura,reconvenção,1.0
censura,recriminação,1.0
censura,abono,1.0
censura,aprovação,1.0
censura,louvor,1.0
censura,batida,1.0
censura,crítica,1.0
censura,descompostura,1.0
censura,exprobação,1.0
censura,exprobração,1.0
censura,raspanete,1.0
censura,raspe,1.0
censura,reboldrosa,1.0
censura,rebordosa,1.0
censura,récipe,1.0
censura,repreensão,1.0
censura,ripada,1.0
censura,sabão,1.0
censura,zagunchada,1.0
censura,zargunchada,1.0
