source,target,value
chegado,íntimo,1.0
chegado,próximo,1.0
chegado,adjacente,1.0
chegado,adjeto,1.0
chegado,adjunto,1.0
chegado,afim,1.0
chegado,apegado,1.0
chegado,conjunto,1.0
chegado,contíguo,1.0
chegado,convizinho,1.0
chegado,imediato,1.0
chegado,junto,1.0
chegado,pegado,1.0
chegado,perto,1.0
chegado,propínquo,1.0
chegado,próximo,1.0
chegado,alongado,1.0
chegado,apartado,1.0
chegado,arredado,1.0
chegado,desconvizinho,1.0
chegado,desviado,1.0
chegado,distal,1.0
chegado,distante,1.0
chegado,extremo,1.0
chegado,longe,1.0
chegado,longínquo,1.0
chegado,longíquo,1.0
chegado,recuado,1.0
chegado,remontado,1.0
chegado,remoto,1.0
chegado,apenso,1.0
chegado,atreito,1.0
chegado,dado,1.0
chegado,disposto,1.0
chegado,inclinado,1.0
chegado,propenso,1.0
chegado,tendenciado,1.0
chegado,tendente,1.0
chegado,treito,1.0
