source,target,value
ciciado,assobiar,1.0
ciciado,assoviar,1.0
ciciado,atitar,1.0
ciciado,ciciar,1.0
ciciado,esfuziar,1.0
ciciado,sibilar,1.0
ciciado,silvar,1.0
ciciado,sobiar,1.0
ciciado,ciciar,1.0
ciciado,cochichar,1.0
ciciado,murmurar,1.0
ciciado,mussitar,1.0
ciciado,segredar,1.0
ciciado,soprar,1.0
ciciado,suspirar,1.0
ciciado,murmulhar,1.0
ciciado,murmurar,1.0
ciciado,murmurejar,1.0
ciciado,rugitar,1.0
ciciado,ruidar,1.0
ciciado,rumorar,1.0
ciciado,rumorejar,1.0
ciciado,surdinar,1.0
ciciado,suspirar,1.0
ciciado,sussurrar,1.0
